02001,Reaper Famine,9.99,NULL,DarkHeavenLegends
02002,Reaper Plague,9.99,NULL,DarkHeavenLegends
02003,Reaper War,10.99,NULL,DarkHeavenLegends
02004,Reaper Pestilence,9.99,NULL,DarkHeavenLegends
02005,Tox,4.99,NULL,DarkHeavenLegends
02006,Sidrith Sword Sister,3.99,NULL,DarkHeavenLegends
02007,Domur Hunters Moon,4.99,NULL,DarkHeavenLegends
02008,Garath Hawkblade,4.99,NULL,DarkHeavenLegends
02009,Krupp The Heretic,4.99,NULL,DarkHeavenLegends
02010,Vlad The Impaler,4.99,NULL,DarkHeavenLegends
02011,Darbin The Deadly,4.99,NULL,DarkHeavenLegends
02012,Hooked Terror,4.99,NULL,DarkHeavenLegends
02013,Skeleton Archer,3.99,NULL,DarkHeavenLegends
02014,Skeleton Halberdier,3.99,NULL,DarkHeavenLegends
02015,Skeleton Swordsman,3.99,NULL,DarkHeavenLegends
02016,Conjunctivus,15.99,NULL,DarkHeavenLegends
02017,Scorpius Rex Dracus,19.99,NULL,DarkHeavenLegends
02018,Familiar Pack I,7.99,NULL,DarkHeavenLegends
02019,Grim Reaper,4.99,NULL,DarkHeavenLegends
02020,The Harbinger,9.99,NULL,DarkHeavenLegends
02021,Tara The Silent,3.99,NULL,DarkHeavenLegends
02022,Eli Quick Night,4.99,NULL,DarkHeavenLegends
02023,Tolzar Righteous Arm,4.99,NULL,DarkHeavenLegends
02024,Diva The Blessed,4.99,NULL,DarkHeavenLegends
02025,Kain Swiftblade,3.99,NULL,DarkHeavenLegends
02026,Brigette Of The Blade,3.99,NULL,DarkHeavenLegends
02027,D'narg The Slayer,4.99,NULL,DarkHeavenLegends
02028,Elisha Light Edge,4.99,NULL,DarkHeavenLegends
02029,Princess Elena,4.99,NULL,DarkHeavenLegends
02030,Sarah The Seeress,4.99,NULL,DarkHeavenLegends
02031,Michelle Dancing Blade,3.99,NULL,DarkHeavenLegends
02032,Unthar Godshand,5.99,NULL,DarkHeavenLegends
02033,Sir Falkirk Nobleheart,4.99,NULL,DarkHeavenLegends
02034,Kurff The Swift,4.99,NULL,DarkHeavenLegends
02035,Gwendalyn The Healer,4.99,NULL,DarkHeavenLegends
