89001,Pathfinder Red Dragon,14.99,08/26/13,Pathfinder
89002,Pathfinder Goblin Pyros,2.99,08/26/13,Pathfinder
89003,Pathfinder Goblin Warriors,2.99,08/26/13,Pathfinder
89004,Pathfinder Goblin Warchanter,1.99,08/26/13,Pathfinder
89005,Amiri| Iconic Barbarian,2.79,08/26/13,Pathfinder
89006,Seoni| Iconic Sorceress,2.79,08/26/13,Pathfinder
89007,Valeros| Iconic Fighter,2.79,08/26/13,Pathfinder
89008,Feiya| Iconic Witch,2.79,08/26/13,Pathfinder
89009,Merisiel| Iconic Rogue,2.79,08/26/13,Pathfinder
89010,Damiel| Iconic Alchemist,2.49,08/26/13,Pathfinder
89011,Seelah| Iconic Paladin,2.49,08/26/13,Pathfinder
89012,Lem| Iconic Bard,2.29,08/26/13,Pathfinder
89013,Ezren| Iconic Wizard,2.49,08/26/13,Pathfinder
89014,Seltyiel| Iconic Magus,2.49,08/26/13,Pathfinder
89015,Kyra| Iconic Cleric,2.49,07/25/16,Pathfinder
89016,Jabberwock,12.99,08/26/13,Pathfinder
89017,Imrijka| Iconic Inquisitor,2.99,04/06/15,Pathfinder
89018,Sajan| Iconic Monk,2.99,04/06/15,Pathfinder
89019,Nakayama Hayato| Iconic Samurai,2.99,04/06/15,Pathfinder
89020,Harsk| Iconic Dwarf Ranger,2.99,04/06/15,Pathfinder
89021,Mystic Theurge,2.99,04/06/15,Pathfinder
89022,Alahazra| Iconic Oracle,2.99,04/06/15,Pathfinder
89023,Balazar| Iconic Summoner,2.99,04/06/15,Pathfinder
89024,Holy Vindicator,2.99,04/06/15,Pathfinder
89025,Alain,2.99,04/06/15,Pathfinder
89026,Eando Kline,2.99,04/06/15,Pathfinder
89027,Lini| Iconic Gnome Druid,2.49,04/06/15,Pathfinder
89028,Arael| Half Elf Cleric,2.99,04/06/15,Pathfinder
89029,Hellknight Order o/t Scourge,3.49,04/06/15,Pathfinder
89030,Hellknight Order of the Nail,2.99,04/06/15,Pathfinder
89031,Whispering Tyrant,3.49,04/06/15,Pathfinder
89032,Anti Paladin,3.29,04/06/15,Pathfinder
89033,The Horned Hunter,2.99,04/06/15,Pathfinder
89034,Crowe| Iconic Bloodrager,2.99,07/10/17,Pathfinder
89035,Brotherhood Of The Seal,2.99,07/10/17,Pathfinder
89036,Reiko| Iconic Ninja,2.99,07/10/17,Pathfinder
89037,Quinn| Iconic Investigator,2.99,07/10/17,Pathfinder
89038,Oloch| Iconic Warpriest,2.99,07/10/17,Pathfinder
89039,Graveknight,2.99,07/10/17,Pathfinder
89040,Aglanda| Herald Of Razmir,2.99,07/10/17,Pathfinder
89041,Troll,3.99,07/10/17,Pathfinder
89042,Red Mantis Assassin,2.99,07/10/17,Pathfinder
