77001,Skeletal Spearmen (3),4.99,3/8/2012,Bones
77002,Orc Archers (3),5.49,3/8/2012,Bones
77003,Orc Spearmen (3),5.49,3/8/2012,Bones
77004,Cave Troll,2.29,3/8/2012,Bones
77005,Ogre Chieftain,2.49,3/8/2012,Bones
77006,Great Worm,2.99,3/8/2012,Bones
77007,Ghost,1.99,3/8/2012,Bones
77008,Garrick the Bold,1.99,3/8/2012,Bones
77009,Werewolf,1.99,3/8/2012,Bones
77010,Kobolds (6),3.49,3/8/2012,Bones
77011,Fulumbar| Dwarf Warrior,1.99,3/8/2012,Bones
77012,Gnoll Warrior,2.49,3/8/2012,Bones
77013,Minotaur,3.49,7/23/2012,Bones
77014,Zombies (3),4.49,7/23/2012,Bones
77015,Bugbear Warrior,2.49,7/23/2012,Bones
77016,Rats (6),3.49,7/23/2012,Bones
77017,Skeletal Swordsman (3),4.99,12/20/2012,Bones
77018,Skeletal Archer (3),4.99,12/20/2012,Bones
77019,Orc Swordsman (3),5.49,12/20/2012,Bones
77020,Bathalian,2.49,12/20/2012,Bones
77021,Lindir| Elf Archer,2.29,12/20/2012,Bones
77022,Michelle| Female Human Ranger,2.49,12/20/2012,Bones
77023,Barnabas| Human Warrior,2.29,12/20/2012,Bones
77024,Goblins (6),3.99,12/20/2012,Bones
77025,Giant Spider,2.49,12/20/2012,Bones
77026,Young Fire Dragon,3.49,12/20/2012,Bones
77027,Naomi| Female Vampire,2.29,12/20/2012,Bones
77028,Mortar| Gargoyle,3.49,12/20/2012,Bones
77029,Silverhorn| Unicorn,2.99,12/20/2012,Bones
77030,Danar| Male Assassin,2.49,8/26/2013,Bones
77031,Cassie| Gnome Wizard,1.99,8/26/2013,Bones
77032,Oxidation Beast,2.49,8/26/2013,Bones
77033,Callie| Female Rogue,2.49,8/26/2013,Bones
77034,Kieran Tallowmire| Wizard,2.99,8/26/2013,Bones
77035,Deladrin| Female Assassin,2.49,8/26/2013,Bones
77036,Devona| Female Wizard,2.29,8/26/2013,Bones
77037,Medusa,2.49,8/26/2013,Bones
77038,Hell Hound,2.99,8/26/2013,Bones
